PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39804656,Six-Month Outcomes in the Long-Term Outcomes After the Multisystem Inflammatory Syndrome in Children Study.,2025,"Trachtenberg, Felicia L; Hu, Chenwei; Hayes, Kerri; , ","Carelon Research, Newton, Massachusetts.; Carelon Research, Newton, Massachusetts.; Carelon Research, Newton, Massachusetts.; ",
39196964,Characterizing Long COVID in Children and Adolescents.,2024,"Carmilani, Megan; Coombs, K; Fitzgerald, Megan L; Güthe, Nick; Hornig, Mady; Letts, Rebecca J; Peddie, Aimee K; Taylor, Brittany D; Bukulmez, Hulya; Kaelber, David C; , ; , ","Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Recover Patient, Caregiver, Or Community Advocate Representative, New York, New York.; Division Of Pediatric Rheumatology, Department Of Pediatrics, Metrohealth System, Cleveland, Ohio.; Departments Of Pediatrics, Internal Medicine, And Population And Quantitative Health Sciences, Metrohealth System, Cleveland, Ohio.; ; ",
37650531,Prediction of tsunami of resistance to some antibiotics is not far-fetched which used during COVID-19 pandemic.,2023,,,
37360228,COVID-19 knowledge deconstruction and retrieval: an intelligent bibliometric solution.,2023,"Markley, Mark; Cassidy, Caitlin; Newman, Nils; Porter, Alan","Search Technology, Inc., Norcross, Usa.; Search Technology, Inc., Norcross, Usa.; Search Technology, Inc., Norcross, Usa.; Search Technology, Inc., Norcross, Usa.",
37036263,CoVe-Tracker: An Interactive SARS-CoV-2 Pan Proteome Evolution Tracker.,2023,,,
37016029,Inhalable Nanoparticle-based Dry Powder Formulations for Respiratory Diseases: Challenges and Strategies for Translational Research.,2023,,,asfchow@hku.hk.
36595296,Examination of Adverse Reactions After COVID-19 Vaccination Among Patients With a History of Multisystem Inflammatory Syndrome in Children.,2023,"Trachtenberg, Felicia L; Mu, Xiangyu; , ","Healthcore Inc, Newton, Massachusetts.; Healthcore Inc, Newton, Massachusetts.; ",
36591558,A statistical analysis of tweets on covid-19 vaccine hesitancy utilizing opinion mining: an Indian perspective.,2023,,,
36517964,Molecular modeling of C1-inhibitor as SARS-CoV-2 target identified from the immune signatures of multiple tissues: An integrated bioinformatics study.,2023,,,
36510500,Automatic identification and explanation of root causes on COVID-19 index anomalies.,2023,,,
